stock_date,company_id,stock_price
2023-12-06,BBCA,8950.0
2023-12-06,BBRI,5350.0
2023-12-06,TLKM,3830.0
2023-12-06,BMRI,5900.0
2023-12-06,ASII,5750.0
2023-12-06,ADRO,2560.0
2023-12-06,UNVR,3630.0
2023-12-06,INDF,6325.0
2023-12-06,ANTM,1705.0
2023-12-06,PGAS,1120.0
2023-12-06,PTBA,2430.0
2023-12-06,KLBF,1665.0
2023-12-06,BBNI,5250.0
2023-12-06,ITMG,24550.0
2023-12-06,UNTR,22150.0
2023-12-06,SMGR,6550.0
2023-12-06,GOTO,109.0
2023-12-06,CPIN,5000.0
2023-12-06,HRUM,1400.0
2023-12-06,INCO,4400.0
2023-12-06,MEDC,1125.0
2023-12-06,BRPT,1015.0
2023-12-06,ARTO,3490.0
2023-12-06,MDKA,2590.0
2023-12-06,BUKA,214.0
2023-12-06,AKRA,1435.0
2023-12-06,TOWR,940.0
2023-12-06,EMTK,655.0
2023-12-06,AMRT,2900.0
2023-12-06,ESSA,570.0
