,company_id,share_outstanding_q1_2022,share_outstanding_q2_2022,share_outstanding_q3_2022,share_outstanding_q4_2022,share_outstanding_q1_2023,share_outstanding_q2_2023,share_outstanding_q3_2023,eps_q1_2022,eps_q2_2022,eps_q3_2022,eps_q4_2022,eps_q1_2023,eps_q2_2023,eps_q3_2023,pe_ratio_q1_2022,pe_ratio_q2_2022,pe_ratio_q3_2022,pe_ratio_q4_2022,pe_ratio_q1_2023,pe_ratio_q2_2023,pe_ratio_q3_2023,price_to_sales_q1_2022,price_to_sales_q2_2022,price_to_sales_q3_2022,price_to_sales_q4_2022,price_to_sales_q1_2023,price_to_sales_q2_2023,price_to_sales_q3_2023,ebitda_q1_2022,ebitda_q2_2022,ebitda_q3_2022,ebitda_q4_2022,ebitda_q1_2023,ebitda_q2_2023,ebitda_q3_2023,return_on_assets_q1_2022,return_on_assets_q2_2022,return_on_assets_q3_2022,return_on_assets_q4_2022,return_on_assets_q1_2023,return_on_assets_q2_2023,return_on_assets_q3_2023,return_on_equity_q1_2022,return_on_equity_q2_2022,return_on_equity_q3_2022,return_on_equity_q4_2022,return_on_equity_q1_2023,return_on_equity_q2_2023,return_on_equity_q3_2023,return_on_capital_employed_q1_2022,return_on_capital_employed_q2_2022,return_on_capital_employed_q3_2022,return_on_capital_employed_q4_2022,return_on_capital_employed_q1_2023,return_on_capital_employed_q2_2023,return_on_capital_employed_q3_2023,interest_coverage_q1_2022,interest_coverage_q2_2022,interest_coverage_q3_2022,interest_coverage_q4_2022,interest_coverage_q1_2023,interest_coverage_q2_2023,interest_coverage_q3_2023,cluster
0,BBCA,123280000000.0,123280000000.0,123280000000.0,123280000000.0,123280000000.0,123280000000.0,123280000000.0,65.42,81.0,88.46,95.57,93.53,102.7,99.21,121.9,89.51,96.65,89.46,93.55,89.09,88.95,46.7,41.94,46.06,44.69,42.02,42.64,40.16,10529340000000.0,12902800000000.0,14263040000000.0,15434040000000.0,14938300000000.0,16405590000000.0,16068630000000.0,0.0064,0.0079,0.0085,0.009,0.0087,0.0093,0.0089,0.0414,0.0492,0.0515,0.0533,0.0546,0.0564,0.0519,0.008,0.0098,0.0106,0.0113,0.0108,0.0117,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
1,BBRI,151560000000.0,151560000000.0,151560000000.0,151560000000.0,151560000000.0,151560000000.0,151560000000.0,80.28,83.26,94.81,79.27,102.28,91.84,96.14,58.05,49.84,47.36,62.32,46.25,59.07,54.35,17.88,14.98,16.93,19.14,15.93,18.17,16.37,16139300000000.0,16576680000000.0,19819540000000.0,16129890000000.0,20930920000000.0,18639320000000.0,19814960000000.0,0.0074,0.0076,0.0085,0.0064,0.0085,0.0077,0.0079,0.0447,0.0447,0.0484999999999999,0.0401,0.0554,0.0474,0.0475,0.0092,0.0096,0.0106,0.0087,0.0106,0.0097,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2,TLKM,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,99060000000.0,61.76,72.6,33.02,42.11,64.85,63.92,68.07,74.16,55.1,135.07,89.05,62.61,62.58,55.09,12.89,10.77,11.98,9.67,11.14,10.6,9.84,18587000000000.0,21335000000000.0,16669000000000.0,16245000000000.0,19312000000000.0,19655000000000.0,20096000000000.0,0.0219,0.0260999999999999,0.0121,0.0152,0.0231,0.0218,0.0244,0.0479,0.0598,0.0265,0.0323,0.0474,0.0511,0.0516,0.0508,0.0604,0.0428,0.0391,0.0547,0.0567999999999999,0.0596999999999999,11.23,12.23,8.18,7.82,10.63,9.9,9.83,4
3,BMRI,46670000000.0,46670000000.0,46670000000.0,46670000000.0,46670000000.0,93330000000.0,93330000000.0,214.96,218.09,223.79,225.38,269.15,135.77,148.2,36.75,36.34,42.12,44.04,38.36,38.3,40.65,12.42,11.97,13.92,13.39,13.99,13.31,14.96,14559690000000.0,15160980000000.0,15567570000000.0,15393490000000.0,18298560000000.0,18294160000000.0,19863220000000.0,0.0058,0.0056999999999999,0.0056999999999999,0.0053,0.0066,0.0065,0.0069,0.0514,0.0501999999999999,0.0492,0.0458,0.0576999999999999,0.0549,0.0567999999999999,0.0079,0.008,0.008,0.0073,0.0088,0.0089,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,ASII,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,40480000000.0,169.43,279.5,127.36,138.67,215.37,215.64,203.59,38.81,23.7,52.02,41.1,27.86,31.42,30.58,3.7,3.73,3.45,2.88,2.93,3.45,3.21,12046000000000.0,14352000000000.0,13494000000000.0,14903000000000.0,13314000000000.0,15011000000000.0,12660000000000.0,0.0179,0.0288,0.0125,0.0136,0.0201,0.0208,0.0186,0.0383,0.0615,0.0272,0.0292,0.0436,0.0468,0.0432,0.0341,0.0412999999999999,0.0365,0.0393,0.0359,0.0402,0.0334,17.96,22.4,19.16,20.61,20.2,18.54,10.91,1
5,ADRO,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,179.57,384.64,342.21,308.87,214.47,195.32,180.38,14.98,7.44,11.57,12.46,13.52,11.42,15.8,4.89,2.6,3.39,3.4,3.37,2.89,3.65,9808960000000.0,22374360000000.0,22323630000000.0,20412950000000.0,10451230000000.0,9454440000000.0,8592280000000.001,0.0524,0.0941,0.0716,0.0588,0.0466,0.0428,0.0358,0.0876,0.1625,0.124,0.1052,0.0706,0.0649,0.0549,0.0864,0.1991,0.1712999999999999,0.1506,0.0714,0.0635,0.0542,30.83,63.45,53.39,43.15,23.47,20.26,16.36,1
6,UNVR,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,52.98,36.93,30.97,19.75,36.84,35.49,37.47,69.08,129.16,155.96,237.97,118.08,120.03,99.81,12.88,17.13,18.29,18.52,15.65,16.78,13.97,2869460000000.0,2147010000000.0,1799220000000.0,1307100000000.0,2095310000000.0,2008030000000.0,2061060000000.0,0.0991,0.0636,0.0584,0.0411,0.0719,0.0679,0.0755,0.3167,0.3085,0.2062,0.1884,0.263,0.344,0.2657,0.3454,0.2393,0.2098999999999999,0.1524,0.2815,0.2684,0.2775,79.94,159.88,105.66,40.18,44.53,83.72,110.4,3
7,INDF,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,268.53,61.83,198.77,195.1,438.44,195.5,172.71,22.16,114.02,30.31,34.47,14.14,37.6,38.36,1.9,2.44,1.89,1.97,1.78,2.53,2.09,6096630000000.0,4589880000000.0,6318040000000.0,6520610000000.0,5893870000000.0,4879630000000.0,6375470000000.0,0.0126,0.003,0.0095,0.0095,0.021,0.0091,0.008,0.0455,0.0105,0.0337,0.0318,0.0675,0.0302999999999999,0.026,0.0368,0.0249,0.0364,0.0372,0.0329,0.0257,0.0352,4.97,1.56,2.6,2.15,6.37,4.49,6.12,1
8,ANTM,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,60.98,2.52,45.81,49.69,69.21,9.43,39.9,40.01,714.29,42.35,39.95,30.2,206.79,45.49,6.02,4.79,3.13,3.89,4.33,4.65,4.72,1846410000000.0,46160000000.0,1486010000000.0,1421700000000.0,2154940000000.0,1016290000000.0,1040340000000.0,0.0465,0.0019,0.0326,0.0355,0.0475999999999999,0.0062,0.027,0.0657,0.0028,0.0488,0.0504,0.0657,0.0096,0.039,0.0611,-0.0059,0.049,0.0443,0.0676,0.0148,0.0371,40.65,-1.41,66.16,4.76,27.56,13.71,6.11,0
9,PGAS,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,24240000000.0,70.21,76.24,48.66,14.72,53.16,36.77,36.89,20.01,20.86,36.07,119.57,25.96,35.49,37.27,2.83,2.78,2.97,2.77,2.39,2.48,2.23,3950730000000.0,4632840000000.0,4123250000000.0,4573620000000.0,3895020000000.0,3978720000000.0,3801130000000.0,0.016,0.0172,0.0105,0.0032,0.0117,0.0086,0.0086,0.0448,0.0484999999999999,0.0295,0.0087,0.0315,0.0232,0.0221,0.0236,0.0302999999999999,0.0234,0.0197,0.0219,0.0256,0.0232,4.49,5.85,4.37,3.36,5.08,4.93,4.82,0
