column_name,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,company_id
Share Outstanding,123280000000.0,123280000000.0,123280000000.0,123280000000.0,123280000000.0,123280000000.0,123280000000.0,123280000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,24660000000.0,0.0,BBCA
EPS (Quarter),99.21,102.7,93.53,95.57,88.46,81.0,65.42,66.71,354.61,300.8,285.53,287.81,316.17,229.52,266.93,310.06,326.87,275.8,245.87,298.0,287.45,239.83,223.4,262.35,255.81,224.92,202.36,222.22,225.15,205.58,182.82,188.62,195.79,181.86,164.56,174.03,176.17,169.81,148.65,157.93,163.82,139.09,117.29,139.77,120.75,121.47,93.44,128.33,116.11,112.6,81.79,96.14,86.32,83.13,78.32,69.66,72.47,67.78,66.19,72.06,63.67,51.86,46.69,0.0,BBCA
PE Ratio (Quarter),88.95,89.09,93.55,89.46,96.65,89.51,121.9,109.43,98.7,100.15,108.83,117.61,85.71,124.06,103.49,107.8,92.85,108.68,112.86,87.25,84.01,89.54,104.3,83.48,79.36,80.7,81.78,69.75,69.73,64.82,72.75,70.51,62.69,74.23,90.09,75.42,74.22,64.78,71.31,60.79,61.04,71.9,97.19,65.11,65.42,60.1,85.62,62.34,66.32,67.94,84.97,66.57,77.62,71.57,70.22,69.62,63.82,52.01,46.83,45.1,49.47,47.72,69.61,0.0,BBCA
Price to Sales (Quarter),40.16,42.64,42.02,44.69,46.06,41.94,46.7,48.62,41.95,35.94,37.27,51.01,32.95,34.84,31.29,46.79,36.22,36.92,35.72,38.53,31.87,31.6,34.43,35.59,29.64,27.37,25.9,27.6,24.7,21.46,21.86,21.02,21.37,23.59,26.72,23.41,24.19,21.64,21.4,20.8,22.99,25.37,30.27,15.16,28.04,26.96,30.25,30.71,30.12,31.17,29.59,27.31,30.69,32.1,27.51,21.13,20.11,15.09,13.08,14.15,15.83,13.77,18.62,0.0,BBCA
EBITDA (Quarter),16068630000000.0,16405590000000.0,14938300000000.0,15434040000000.0,14263040000000.0,12902800000000.0,10529340000000.0,10879070000000.0,11446590000000.0,9709650000000.0,9253060000000.0,9578100000000.0,10349160000000.0,7655270000000.0,8530980000000.0,10538560000000.0,10671250000000.0,9051110000000.0,8043700000000.0,9941990000000.0,9514950000000.0,7960680000000.0,7370050000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBCA
Return on Assets (Quarter),0.0089,0.009300000000000001,0.0087,0.009000000000000001,0.0085,0.0079,0.0064,0.0067,0.0075,0.006600000000000001,0.006500000000000001,0.006600000000000001,0.0078000000000000005,0.0058,0.0068000000000000005,0.0083,0.009000000000000001,0.0078000000000000005,0.0073,0.0089,0.0089,0.0075,0.0072,0.0086,0.0085,0.0075,0.0072,0.008100000000000001,0.0084,0.008100000000000001,0.0075,0.0078000000000000005,0.0083,0.0078000000000000005,0.0073,0.0078000000000000005,0.008100000000000001,0.008,0.0073,0.0078000000000000005,0.0083,0.0075,0.006500000000000001,0.0078000000000000005,0.006999999999999999,0.0073,0.005699999999999999,0.0083,0.0079,0.008199999999999999,0.0062,0.0073,0.0069,0.0069,0.0068000000000000005,0.0061,0.006600000000000001,0.006600000000000001,0.006600000000000001,0.0072,0.0069,0.0058,0.0054,0.0,BBCA
Return on Equity (Quarter),0.0519,0.0564,0.0546,0.0533,0.051500000000000004,0.0492,0.0414,0.0406,0.0442,0.0396,0.0394,0.0384,0.0435,0.0335,0.0383,0.043899999999999995,0.048,0.0426,0.0382,0.0484,0.049400000000000006,0.0432,0.0404,0.0493,0.0495,0.046,0.0422,0.0487,0.0509,0.049100000000000005,0.0447,0.052000000000000005,0.056100000000000004,0.055,0.0509,0.0552,0.058300000000000005,0.0596,0.054000000000000006,0.061,0.066,0.0596,0.0512,0.0665,0.0605,0.0658,0.052000000000000005,0.0753,0.07200000000000001,0.0748,0.0559,0.0695,0.06559999999999999,0.0679,0.0647,0.0617,0.0661,0.0666,0.0652,0.0763,0.0702,0.061399999999999996,0.054000000000000006,0.0,BBCA
Return on Capital Employed (Quarter),0.011000000000000001,0.0117,0.0108,0.0113,0.0106,0.0098,0.008,0.0085,0.0094,0.0083,0.008,0.0085,0.0098,0.0073,0.0084,0.011000000000000001,0.0116,0.01,0.0092,0.0116,0.0113,0.0096,0.0091,0.0108,0.0106,0.0098,0.0092,0.0102,0.0108,0.010400000000000001,0.0094,0.0099,0.010400000000000001,0.0101,0.0092,0.0096,0.010400000000000001,0.0099,0.0094,0.0096,0.0098,0.0092,0.008,0.0098,0.0086,0.0088,0.0072,0.0105,0.0098,0.0103,0.0078000000000000005,0.0091,0.0086,0.0083,0.0086,0.0087,0.0079,0.0079,0.0083,0.0086,0.0097,0.0083,0.0152,0.0,BBCA
Interest Coverage (Quarter),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBCA
Share Outstanding,151560000000.0,151560000000.0,151560000000.0,151560000000.0,151560000000.0,151560000000.0,151560000000.0,151560000000.0,151560000000.0,123350000000.0,123350000000.0,123350000000.0,123350000000.0,123350000000.0,123350000000.0,123350000000.0,123350000000.0,123350000000.0,123350000000.0,123350000000.0,123350000000.0,123350000000.0,123350000000.0,123350000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,24670000000.0,12330000000.0,12330000000.0,12330000000.0,12330000000.0,12330000000.0,12330000000.0,12330000000.0,12330000000.0,12330000000.0,12320000000.0,12320000000.0,12320000000.0,0.0,BBRI
